model_version,event_group,window_days,horizon,n_days,n_event_name_days,mean_excess_spread_pct,median_excess_spread_pct,pct_of_days_positive,hit_rate_pct,overlap_adjusted_t,effective_independent_n,min_detectable_spread_pct,survivorship_biased,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,agreement,90,2,554,212225,-0.012145067628687917,0.006961718118148939,51.985559566786996,49.39518078916497,-0.8265978906449224,277.0,0.0411399420990466,True,2026-09-11T17:58:44.448648+00:00,0.40917902966034836,105,False,3,5.25
v0.5_expanded_universe,disclosure,5,2,551,63597,0.008578695060168794,0.0010637046741608007,50.27223230490018,49.40891267615633,0.40058581281761324,275.5,0.059963047616489316,True,2026-09-11T17:58:44.877817+00:00,0.6890366908917045,105,False,3,5.25
v0.5_expanded_universe,disclosure,30,2,551,271694,-0.0012071138033725233,0.006928113884021193,50.99818511796733,49.5420599798207,-0.0836869296507858,275.5,0.040387652690175246,True,2026-09-11T17:58:45.317200+00:00,0.9333663459544859,105,False,3,5.25
v0.5_expanded_universe,disclosure,90,2,551,529118,0.007723296426369722,0.009727414540058724,51.724137931034484,49.57582977982691,0.5477305222922172,275.5,0.03948151347004548,True,2026-09-11T17:58:45.743367+00:00,0.584322041228467,105,False,3,5.25
v0.5_expanded_universe,earnings,5,2,540,51027,-0.09647257514550707,-0.0654001436052978,44.62962962962963,48.11687582273023,-2.0417441385490602,270.0,0.13230022572729383,True,2026-09-11T17:58:46.233032+00:00,0.042152375960476,105,False,3,5.25
v0.5_expanded_universe,earnings,30,2,532,280508,-0.032714658996879156,-0.034977700606624355,45.48872180451128,49.03577988117415,-1.2512576405444653,266.0,0.07320718149733166,True,2026-09-11T17:58:46.668501+00:00,0.21194397113582286,105,False,3,5.25
v0.5_expanded_universe,earnings,90,2,515,726962,-0.0638319715108862,-0.027915647151161578,47.37864077669903,49.4965379056211,-1.9082843132200558,257.5,0.09365979639003139,True,2026-09-11T17:58:47.173742+00:00,0.057470845239050265,105,False,3,5.25
v0.5_expanded_universe,material,5,2,549,123382,0.005263087698916341,0.0028929502213765603,50.45537340619308,49.27461762604117,0.3159492390342477,274.5,0.04664244674875877,True,2026-09-11T17:58:47.613279+00:00,0.7522820119596647,105,False,3,5.25
v0.5_expanded_universe,material,30,2,532,475700,-0.012453591941576336,-0.015417856077738675,47.368421052631575,49.32530613663656,-0.6673616814401431,266.0,0.05225061373192026,True,2026-09-11T17:58:48.051169+00:00,0.5051218507735122,105,False,3,5.25
v0.5_expanded_universe,material,90,2,507,743620,-0.03121895381606328,-0.02430958378394015,48.32347140039448,49.55986329580905,-0.8569600743871553,253.5,0.10200366772919915,True,2026-09-11T17:58:48.482824+00:00,0.39227954071196947,105,False,3,5.25
v0.5_expanded_universe,officer_change,5,2,551,29734,0.030846915531353197,0.01611053897671976,52.26860254083484,48.9606927039867,1.0567380086011648,275.5,0.08173394236299047,True,2026-09-11T17:58:48.909520+00:00,0.29156028218632646,105,False,3,5.25
v0.5_expanded_universe,officer_change,30,2,551,146913,-0.014148909988077881,-0.011531920938153556,47.91288566243194,49.182946213348885,-0.954602413317479,275.5,0.04150099288869322,True,2026-09-11T17:58:49.500468+00:00,0.34061868009728014,105,False,3,5.25
v0.5_expanded_universe,officer_change,90,2,551,357311,-0.01116865309817027,-0.007982919249712112,47.91288566243194,49.32390844631761,-0.8115646822433428,275.5,0.03853325478436721,True,2026-09-11T17:58:49.989395+00:00,0.41774462296853976,105,False,3,5.25
v0.5_expanded_universe,redflag,5,2,48,167,-0.7240954427404658,-0.47555320469186735,41.66666666666667,44.895833333333336,-1.5322195346304195,24.0,1.3232224194050242,True,2026-09-11T17:58:50.476879+00:00,0.13910881838105615,105,False,3,5.25
v0.5_expanded_universe,redflag,30,2,480,2676,-0.07108612577384456,-0.006429490692261221,49.791666666666664,48.68220899470899,-0.5607596003077219,240.0,0.3549491654847088,True,2026-09-11T17:58:51.109653+00:00,0.5754867489653446,105,False,3,5.25
v0.5_expanded_universe,redflag,90,2,551,8210,-0.060372650837796915,-0.015338680117981838,49.364791288566245,48.32425901931529,-0.9335522113029096,275.5,0.18107548811855564,True,2026-09-11T17:58:51.648254+00:00,0.35135536396872846,105,False,3,5.25
v0.5_expanded_universe,agreement,5,5,551,16949,-0.06536328510383291,0.002980403535830919,50.09074410163339,48.9126395267722,-0.7286786262645552,110.2,0.25116312142835606,True,2026-09-11T17:58:52.200323+00:00,0.4677581116918751,105,False,3,5.25
v0.5_expanded_universe,agreement,30,5,551,82888,-0.0027387807824272564,0.024875294241378295,51.17967332123412,49.08292577924362,-0.05809673863026218,110.2,0.13199684477300083,True,2026-09-11T17:58:52.710748+00:00,0.9537777504195907,105,False,3,5.25
